_id,Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
1,Austin's Pizza #7,78759,2014-12-26T00:00:00,100,"10900 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.40144337600003, -97.74624250399995)",2802898,Routine Inspection
2,Jim's Coffee Shop,78758,2014-12-26T00:00:00,91,"9091 RESEARCH BLVD NB
AUSTIN, TX 78758
(30.374265657000024, -97.72788895899998)",2800422,Routine Inspection
3,Trudy's North Star,78757,2014-12-26T00:00:00,86,"8820 BURNET RD
AUSTIN, TX 78757
(30.370728152000027, -97.72705124999999)",2800417,Routine Inspection
4,Lamar Food Mart,78753,2014-12-26T00:00:00,94,"8545 N LAMAR BLVD
AUSTIN, TX 78753
(30.354247065000038, -97.70434323199999)",10007100,Routine Inspection
5,Gaston Food Mart,78723,2014-12-26T00:00:00,97,"2157 GASTON PLACE DR
AUSTIN, TX 78723
(30.311953713000037, -97.68574655599997)",10004935,Routine Inspection
6,Starbuck's Coffee #6251,78759,2014-12-26T00:00:00,100,"10900 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.40144337600003, -97.74624250399995)",2801159,Routine Inspection
7,Con'olio Oils & Vinegars,78759,2014-12-26T00:00:00,100,"10000 RESEARCH BLVD SB Unit 130
AUSTIN, TX 78759
(30.39282891700003, -97.74696267999997)",10352489,Routine Inspection
8,Cho Sushi,78732,2014-12-26T00:00:00,92,"4300 N QUINLAN PARK RD Unit 105
AUSTIN, TX 78732
(30.382165701000076, -97.88411763199997)",10357554,Routine Inspection
9,La Catracha,78758,2014-12-24T00:00:00,97,"10500 N LAMAR BLVD
AUSTIN, TX 78758
(30.374032207000027, -97.69088089699994)",10648379,1st Follow Up to Routine of 50 - 69
10,Pure Austin Fitness,78703,2014-12-23T00:00:00,93,"907 W 5TH ST
AUSTIN, TX 78703
(30.269994523000037, -97.75380031999998)",2801357,Routine Inspection
11,Subway,78759,2014-12-23T00:00:00,100,"4815 W BRAKER LN
AUSTIN, TX 78759
(30.400682870000026, -97.74784993699996)",2801214,Routine Inspection
12,Domino's Pizza,78748,2014-12-23T00:00:00,91,"1807 W SLAUGHTER LN Unit 465
AUSTIN, TX 78748
(30.173653393000052, -97.82206034199999)",10010126,Routine Inspection
13,Copper Restaurant & Dessert Lounge,78758,2014-12-23T00:00:00,94,"3401 ESPERANZA XING Unit 104
AUSTIN, TX 78758
(30.40062064700004, -97.72697174199999)",10687405,Routine Inspection
14,Subway,78757,2014-12-23T00:00:00,96,"7711 BURNET RD
AUSTIN, TX 78757
(30.353664010000045, -97.73230565499995)",2800494,Routine Inspection
15,Taqueria Chapala #3,78735,2014-12-23T00:00:00,75,"6116 W US 290 HWY WB
AUSTIN, TX 78735
(30.25409272400003, -97.86540606199998)",2803037,Routine Inspection
16,Starbucks Coffee # 6319,78703,2014-12-23T00:00:00,96,"907 W 5TH ST Unit 102
AUSTIN, TX 78703
(30.269994523000037, -97.75380031999998)",2801361,Routine Inspection
17,China Dynasty,78748,2014-12-23T00:00:00,85,"2110 W SLAUGHTER LN Unit 101
AUSTIN, TX 78748
(30.173777839000024, -97.82538121899995)",2800685,1st Follow Up to Routine of 50 - 69
18,Corner Store #1396,78759,2014-12-23T00:00:00,97,"10713 JOLLYVILLE RD
AUSTIN, TX 78759
(30.400607971000056, -97.74886163999997)",2803430,Routine Inspection
19,Onion Creek Food Mart,78747,2014-12-23T00:00:00,86,"2107 BOCA RATON DR
AUSTIN, TX 78747
(30.139353420000077, -97.79502320199998)",10194058,Routine Inspection
20,Los Jalisciences #5,78728,2014-12-23T00:00:00,83,"2113 W WELLS BRANCH PKWY Unit 1000
AUSTIN, TX 78728
(30.436359777000064, -97.68373757299997)",10752445,Routine Inspection
21,Great Harvest Bread Co.,78759,2014-12-23T00:00:00,93,"4815 W BRAKER LN
AUSTIN, TX 78759
(30.400682870000026, -97.74784993699996)",2803471,Routine Inspection
22,Juanita's Botanitas Special Events,78704,2014-12-23T00:00:00,100,"3900 S CONGRESS AVE
AUSTIN, TX 78704
(30.224116423000055, -97.76325709699995)",10515600,Routine Inspection
